Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,180.445,-124.295,270,top
C2,22uf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,178.145,-124.295,270,top
C3,22uf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,182.745,-99.255,90,top
C4,22uf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,178.145,-104.775,270,top
C5,100nf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,125.92,-107.0225,180,top
C6,100nf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,139.92,-93.5125,180,top
C7,100nf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,133.17,-124.2225,0,top
C8,100nf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,147.17,-124.2225,0,top
C9,100nf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,172.8,-101.91,90,top
C10,100nf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,151.8,-101.91,90,top
C11,100nf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,172.8,-98.11,270,top
C12,100nf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,151.8,-98.11,270,top
C13,100nf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,160.3,-112.11,0,top
C14,100nf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,163.8,-91.01,180,top
C15,100nf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,172.8,-106.41,270,top
C16,100nf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,160.619,-114.897,180,top
C17,100nf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,171.668,-114.897,180,top
C18,10uf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,114.554,-108.966,270,top
C19,10uf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,98.806,-106.426,270,top
C20,10uf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,98.806,-111.506,270,top
C21,10uf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,101.346,-117.094,0,top
C22,10uf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,167.132,-82.61,180,top
R1,0R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,175.895,-104.775,90,top
R2,4.7k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,155.3,-91.01,0,top
R3,4.7k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,159.55,-91.01,180,top
R4,DNP,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,156.174,-125.692,0,top
R5,0R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,152.11,-125.692,0,top
R6,R220,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,101.346,-101.562,0,top
R7,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,152.875,-114.897,180,top
R8,DNP,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,160.238,-125.692,0,top
R9,0R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,172.8,-94.107,90,top
U2,LM1117-3.3,SOT-223,178.145,-117.385,270,top
U3,LM1117-1.8,SOT-223,178.145,-96.99,270,top
U4,SN74LVC16374DGGR,TSSOP-48_6.1x12.5mm_P0.5mm,129.55,-100.2225,0,top
U5,SN74LVC16374DGGR,TSSOP-48_6.1x12.5mm_P0.5mm,143.55,-100.2225,0,top
U6,SN74LVC16374DGGR,TSSOP-48_6.1x12.5mm_P0.5mm,129.55,-118.2225,0,top
U7,SN74LVC16374DGGR,TSSOP-48_6.1x12.5mm_P0.5mm,143.55,-118.2225,0,top
U8,EPM570T100,LQFP-100_14x14mm_P0.5mm,162.3,-101.51,270,top
U10,SN74CBTD3384PWLE,TSSOP-24_SSOP-24_HYBRID_P0.65mm,156.775,-120.035,270,top
U11,SN74CBTD3384PWLE,TSSOP-24_SSOP-24_HYBRID_P0.65mm,167.825,-120.035,270,top
